job_name,position,diploma,company_name,company_size,company_type,salary
市场专员,上海,本科,上海高顿教育科技有限公司,1000-9999人,民营,6千-1.2万
仓库运作专员（储备人才） (MJ000850),上海,本科,上药控股有限公司,10000人以上,国企,6千-8千
财务（代账）,上海,大专,联贝财务咨询集团股份有限公司,20-99人,民营,8千-1.2万
产品管培生（运营类）（2023届）,上海,硕士,上海爱数信息技术股份有限公司,1000-9999人,民营,1万-1.6万
保底8000元+出地铁200米到单位（人生总要买次房）氛围好+管理层双向发展+储备店长,上海,本科,上海链家地产,10000人以上,民营,8千-1.6万
销售助理、家装设计、租赁托管,上海,本科,上海链家地产,10000人以上,民营,8千-1.6万
总部/基地培训专员,上海,本科,上海太屋网络科技有限公司,1000-9999人,民营,6千-8千
上市企业链家房产，直招管培生，8K底薪,上海,本科,上海链家地产,10000人以上,民营,8千-1.3万
知名外资财务数据分析员（短期六个月）,上海,大专,任仕达企业管理(上海)有限公司深圳分公司,100-299人,外商独资,6千-8千
招聘专员,上海,大专,上海埃帕信息科技有限公司,100-299人,民营,5千-6千
销售助理,上海,本科,科锐尔人力资源服务(苏州)有限公司,1000-9999人,上市公司,7千-8千
信贷助理,上海,本科,台湾土地银行股份有限公司上海分行,20-99人,外商独资,6千-8千
市场专员,上海,大专,上海欢度智能科技有限公司,20-99人,民营,8千-1.2万
1实习月薪8K起+置业数据分析+住宿方案+上市企业闵行,上海,本科,上海链家地产,10000人以上,民营,8千-1.6万
500强上市公司 数据分析 运营管理培训生,上海,本科,上海链家地产,10000人以上,民营,1.1万-1.8万
跨境电商运营,上海,本科,江西释领网络科技有限公司,300-499人,,1.1万-1.4万
营销助理/主管 (marketing Assistant/ Supervisor),上海,大专,中国四达国际经济技术合作公司上海分公司,100-299人,国企,6千-1万
市场专员,上海,本科,上海高顿教育科技有限公司,1000-9999人,民营,6千-1.2万
Sourcing Assistant - (51Connectors),上海,大专,壳耐电子科技(上海)有限公司,20-99人,民营,5千-7千
市场BD本地爆品探店-高薪晋升快,上海,学历不限,联联永欣科技(成都)有限公司,1000-9999人,民营,9千-1.8万
商圈销售小助理8K底薪包住,上海,大专,上海太屋网络科技有限公司,1000-9999人,民营,8千-1.3万
电商运营专员(J10573),上海,本科,天邦股份,10000人以上,上市公司,8千-1万
豪宅职业顾问 最低年薪15万 提成20-70%,上海,本科,上海链家地产,10000人以上,民营,1.3万-2.6万
无责8000 周末双休 文职销售,上海,大专,邯郸翰驰机械科技有限公司,,,1万-1.8万
互联网运营8K，学区豪宅营销，千万门店，6条地铁交汇处，可应届住宿路费解决，包五险一金深圳户口,上海,本科,上海链家地产,10000人以上,民营,8千-1.6万
团队经理 有经验入职 可评等级,上海,本科,上海链家地产,10000人以上,民营,1.1万-2.2万
hr服务专员（简单 双休）,上海,大专,杭州今元标矩科技有限公司上海分公司,1000-9999人,民营,6千-8千
互联网运营+数据分析师+定期团建+保障薪资,上海,本科,上海链家地产,10000人以上,民营,8千-1.6万
销售数据运营,上海,本科,欣和企业,1000-9999人,外商独资,8千-1.1万
招聘专员,上海,大专,上海埃帕信息科技有限公司,100-299人,民营,5千-6千
无责底薪6k起豪宅项目营销/销售助理/营销顾问,上海,本科,丽兹行,1000-9999人,民营,1万-1.5万
纯客服（不带销售）,上海,中专/中技,上海成翰信息技术有限公司,500-999人,合资,5千-7千
房产经纪人 中高端,上海,本科,上海链家地产,10000人以上,民营,1.3万-2.1万
诚聘京东、天猫运营助理 包住,上海,中专/中技,上海甄相电子商务有限公司,20-99人,民营,4千-6千
